customer_id,order_id,product_id,seller_id,price,freight_value,customer_city,customer_state,order_date,discount_amount
563decc20c79fc58f6adaacdfb49ba66,d630523e4ead4d29e7dd497f1a47b90e,fcb0e3bd6245e82cb0203dca6c126e43,36a968b544695394e4e9d7572688598f,20.9,17.78,morrinhos,GO,2017-03-06 13:02:08,1.44
0455d45b64061c4e759e04cd9101f5fa,a72128c306bd3fde78eb4f32b6360d86,69b1e7f2c5c9a2e61ed7d9dd4d269188,d12c926d74ceff0a90a21184466ce161,89.0,8.99,  sao paulo  ,SP,2017-03-06 13:08:25,4.66
d671f3c7672d55bf5cf119326e5c86e9,840a77e5812e6cb838f4957339f5aa2c,8dc068efed6312b226cb8f74127314c9,6edacfd9f9074789dad6d62ba7950b9c,60.9,20.88,itabuna,BA,2017-03-06 13:13:02,3.39
ec9eec3f6ecad08f1a41bb32a5dbb1ea,42bcfd11cc83efc775637358296f6b48,94e6f132095f2a1ee6a6ba8330a9f9c0,2138ccb85b11a4ec1e37afbd1c8eda1f,26.99,17.35,palmas,TO,2017-03-06 13:56:19,5.01
8c2c80b3c71d4aab125e0b8b1f8c36a4,04a964d023c9a995e1dea573959fad67,325c397d5d1eebe97422d6bc1ed8709d,656591be56071d4c9ef4e5fee78a578a,85.0,58.2,belo horizonte,MG,2017-03-06 13:59:02,2.81
9503b854a580d4abd3fc1945c8018de7,9a0a3c8bb7bb3ddebdf16f8df87d7e18,67ebdecdb06cd28ca8839e419aac1413,d1c281d3ae149232351cd8c8cc885f0d,65.99,20.62,cantagalo,PR,2017-03-06 14:05:57,13.04
43bc321fea1ef708749dd8349c5c081e,d8f560d2563965001d1f853e74c82b0c,e6b6e13cf71449a457269f425b89dc74,b2ba3715d723d245138f291a6fe42594,79.9,11.17,  piracicaba  ,SP,2017-03-06 14:14:46,5.22
92eca7f9b394bf80e4151f66a4bb0130,06215d34c1ec4e1106eb12ae5fd0370f,42130cd7a981706499a4d337f2f7f621,2138ccb85b11a4ec1e37afbd1c8eda1f,29.99,14.11,florianopolis,SC,2017-03-06 14:16:20,0.53
92eca7f9b394bf80e4151f66a4bb0130,06215d34c1ec4e1106eb12ae5fd0370f,42130cd7a981706499a4d337f2f7f621,2138ccb85b11a4ec1e37afbd1c8eda1f,29.99,14.11,florianopolis,SC,2017-03-06 14:16:20,1.49
ef9fbca59376f45868cfd03ca0d711c1,fe9178012c726b1780a3553d7972a9b8,d20466987c855004cda6b91a3a09da79,41b39e28db005d9731d9d485a83b4c38,129.7,37.92,sao paulo,SP,2017-03-06 14:21:54,1.52
31aea396cd3697686bfc89253ce1962a,bc4a35f20466a9b911b3b0847021e30f,49cd6408393770922f19ca2925832dcd,b17b679f4f5ce2e03ce6968c62648246,73.9,17.26,varginha,MG,2017-03-06 14:29:15,11.68
f78272dd982a15b63bd8b8862942552d,f6dbdcbe96b4cd2904cf75bbda5c6ac1,19f3b74026e6ec6c83fc25e21baf454e,e627629ba868740e287800f1a9be81c2,79.0,8.92,sao paulo,SP,2017-03-06 14:30:50,8.1
3c5de2876ef848c693b452c96cab5d13,c812c0f1cdbb156865e2d5e0ee09ee5f,8d8109048bbf6f0369b1522029f92a19,85d9eb9ddc5d00ca9336a2219c97bb13,44.9,16.05,cascavel,PR,2017-03-06 14:33:25,3.03
36ec1e0f44dd8a859548c2210b381e3a,91866c79939321e63218d7b71b2b26f8,cf321a247972430ae872ea605fb4628a,bb135baca94c82fcb731335ad5b04a03,22.9,14.11,belo horizonte,MG,2017-03-06 14:48:06,3.03
