customer_id,order_id,product_id,seller_id,price,freight_value,customer_city,customer_state,order_date,discount_amount
cust_3838,order_3838,prod_70,seller_9,257.95,7.38,curitiba,PR,2018-01-03 15:58:00,41.02
cust_3839,order_3839,prod_59,seller_19,259.14,28.78,curitiba,RJ,2018-01-03 15:59:00,14.67
  cust_3840  ,order_3840,prod_61,seller_2,65.47,35.87,curitiba,SP,2018-01-03 16:00:00,8.94
cust_3841,order_3841,prod_75,seller_2,303.09,23.86,rio de janeiro,SP,2018-01-03 16:01:00,38.96
  cust_3842  ,order_3842,prod_17,seller_10,362.89,23.76,rio de janeiro,RJ,2018-01-03 16:02:00,47.37
cust_3843,order_3843,prod_79,seller_1,309.37,10.53,sao paulo,SP,2018-01-03 16:03:00,37.63
cust_3844,order_3844,prod_59,seller_7,375.52,18.58,curitiba,RJ,2018-01-03 16:04:00,72.03
cust_3845,order_3845,prod_42,seller_11,68.26,24.99,rio de janeiro,RJ,2018-01-03 16:05:00,6.94
cust_3846,order_3846,prod_46,seller_8,383.09,43.86,curitiba,SP,2018-01-03 16:06:00,56.11
cust_3847,order_3847,prod_51,seller_4,111.99,45.41,rio de janeiro,SP,2018-01-03 16:07:00,15.8
  cust_3848  ,order_3848,prod_55,seller_6,439.65,47.91,curitiba,RJ,2018-01-03 16:08:00,20.78
cust_3849,order_3849,prod_34,seller_12,130.02,9.51,sao paulo,RJ,2018-01-03 16:09:00,7.37
  cust_3850  ,order_3850,prod_23,seller_19,,18.33,curitiba,SP,2018-01-03 16:10:00,21.29
cust_3851,order_3851,prod_17,seller_15,,25.83,sao paulo,RJ,2018-01-03 16:11:00,13.82
cust_3852,order_3852,prod_34,seller_11,141.74,33.88,sao paulo,RJ,2018-01-03 16:12:00,10.4
cust_3853,order_3853,prod_26,seller_3,187.24,36.63,rio de janeiro,SP,2018-01-03 16:13:00,14.64
cust_3854,order_3854,prod_52,seller_5,100.94,40.37,rio de janeiro,RJ,2018-01-03 16:14:00,12.19
cust_3855,order_3855,prod_91,seller_9,289.35,27.31,curitiba,SP,2018-01-03 16:15:00,12.73
  cust_3856  ,order_3856,prod_11,seller_5,457.38,30.05,rio de janeiro,SP,2018-01-03 16:16:00,73.57
cust_3857,order_3857,prod_31,seller_14,165.14,48.23,sao paulo,SP,2018-01-03 16:17:00,14.45
  cust_3858  ,order_3858,prod_5,seller_7,258.95,15.8,sao paulo,SP,2018-01-03 16:18:00,36.58
cust_3859,order_3859,prod_97,seller_16,432.32,41.17,rio de janeiro,SP,2018-01-03 16:19:00,7.04
cust_3860,order_3860,prod_70,seller_6,231.72,37.03,rio de janeiro,PR,2018-01-03 16:20:00,21.78
  cust_3861  ,order_3861,prod_24,seller_10,417.32,11.3,rio de janeiro,SP,2018-01-03 16:21:00,2.36
  cust_3862  ,order_3862,prod_42,seller_14,228.73,46.69,sao paulo,PR,2018-01-03 16:22:00,30.92
  cust_3863  ,order_3863,prod_72,seller_4,225.72,43.49,rio de janeiro,PR,2018-01-03 16:23:00,15.52
  cust_3864  ,order_3864,prod_95,seller_15,87.05,40.08,rio de janeiro,PR,2018-01-03 16:24:00,16.53
cust_3865,order_3865,prod_57,seller_12,71.24,10.7,curitiba,PR,2018-01-03 16:25:00,4.62
cust_3866,order_3866,prod_27,seller_13,309.63,11.29,rio de janeiro,SP,2018-01-03 16:26:00,34.91
cust_3867,order_3867,prod_69,seller_9,415.39,35.74,curitiba,RJ,2018-01-03 16:27:00,21.38
  cust_3868  ,order_3868,prod_68,seller_18,76.35,9.83,sao paulo,PR,2018-01-03 16:28:00,9.47
  cust_3869  ,order_3869,prod_64,seller_15,455.95,10.1,curitiba,RJ,2018-01-03 16:29:00,42.59
  cust_3870  ,order_3870,prod_5,seller_4,185.85,23.01,sao paulo,SP,2018-01-03 16:30:00,13.78
cust_3871,order_3871,prod_70,seller_11,218.38,5.24,sao paulo,RJ,2018-01-03 16:31:00,8.9
cust_3872,order_3872,prod_2,seller_18,448.28,37.47,curitiba,PR,2018-01-03 16:32:00,10.0
cust_3873,order_3873,prod_90,seller_6,449.19,29.31,rio de janeiro,PR,2018-01-03 16:33:00,10.77
cust_3874,order_3874,prod_88,seller_11,267.18,8.52,rio de janeiro,RJ,2018-01-03 16:34:00,53.38
cust_3875,order_3875,prod_56,seller_15,145.61,29.46,rio de janeiro,SP,2018-01-03 16:35:00,12.01
cust_3876,order_3876,prod_64,seller_6,94.25,7.43,curitiba,SP,2018-01-03 16:36:00,0.04
  cust_3877  ,order_3877,prod_7,seller_10,143.07,8.18,sao paulo,SP,2018-01-03 16:37:00,27.27
cust_3878,order_3878,prod_87,seller_11,392.51,26.85,sao paulo,RJ,2018-01-03 16:38:00,1.57
  cust_3879  ,order_3879,prod_27,seller_4,169.05,27.49,sao paulo,SP,2018-01-03 16:39:00,14.15
cust_3880,order_3880,prod_26,seller_4,350.34,20.25,curitiba,RJ,2018-01-03 16:40:00,50.27
cust_3881,order_3881,prod_71,seller_11,105.65,32.98,sao paulo,SP,2018-01-03 16:41:00,19.33
cust_3882,order_3882,prod_93,seller_4,244.47,22.43,rio de janeiro,SP,2018-01-03 16:42:00,34.86
cust_3883,order_3883,prod_49,seller_19,182.53,31.41,rio de janeiro,SP,2018-01-03 16:43:00,16.93
cust_3884,order_3884,prod_51,seller_10,,20.74,sao paulo,SP,2018-01-03 16:44:00,50.04
cust_3885,order_3885,prod_55,seller_14,289.27,37.17,rio de janeiro,PR,2018-01-03 16:45:00,2.27
cust_3886,order_3886,prod_29,seller_8,,31.07,sao paulo,PR,2018-01-03 16:46:00,97.81
  cust_3887  ,order_3887,prod_60,seller_6,450.95,12.2,sao paulo,PR,2018-01-03 16:47:00,76.61
  cust_3888  ,order_3888,prod_96,seller_10,350.97,35.88,sao paulo,RJ,2018-01-03 16:48:00,65.21
cust_3889,order_3889,prod_38,seller_14,85.33,40.28,curitiba,SP,2018-01-03 16:49:00,4.35
cust_3890,order_3890,prod_77,seller_8,460.32,7.96,rio de janeiro,PR,2018-01-03 16:50:00,13.12
cust_3891,order_3891,prod_77,seller_6,447.37,32.45,curitiba,RJ,2018-01-03 16:51:00,59.35
  cust_3892  ,order_3892,prod_85,seller_3,444.48,40.57,rio de janeiro,PR,2018-01-03 16:52:00,45.86
cust_3893,order_3893,prod_72,seller_11,244.72,10.16,sao paulo,RJ,2018-01-03 16:53:00,25.61
  cust_3894  ,order_3894,prod_92,seller_13,93.65,45.57,rio de janeiro,RJ,2018-01-03 16:54:00,17.32
  cust_3895  ,order_3895,prod_71,seller_11,379.66,23.67,curitiba,RJ,2018-01-03 16:55:00,47.08
cust_3896,order_3896,prod_97,seller_5,200.37,38.2,rio de janeiro,SP,2018-01-03 16:56:00,12.47
  cust_3897  ,order_3897,prod_71,seller_5,178.84,45.46,sao paulo,RJ,2018-01-03 16:57:00,14.31
cust_3898,order_3898,prod_83,seller_8,201.48,49.53,sao paulo,PR,2018-01-03 16:58:00,5.38
cust_3899,order_3899,prod_89,seller_7,283.94,31.28,curitiba,SP,2018-01-03 16:59:00,10.92
cust_3900,order_3900,prod_98,seller_4,173.42,36.69,rio de janeiro,SP,2018-01-03 17:00:00,4.97
cust_3901,order_3901,prod_59,seller_18,348.06,16.33,curitiba,PR,2018-01-03 17:01:00,56.41
cust_3902,order_3902,prod_71,seller_7,327.38,18.05,rio de janeiro,RJ,2018-01-03 17:02:00,46.15
cust_3903,order_3903,prod_96,seller_5,259.34,43.28,sao paulo,PR,2018-01-03 17:03:00,27.51
  cust_3904  ,order_3904,prod_38,seller_12,36.45,22.92,curitiba,RJ,2018-01-03 17:04:00,2.73
cust_3905,order_3905,prod_12,seller_16,468.91,42.01,curitiba,RJ,2018-01-03 17:05:00,62.69
cust_3906,order_3906,prod_88,seller_9,211.73,7.28,curitiba,PR,2018-01-03 17:06:00,34.42
cust_3907,order_3907,prod_63,seller_13,230.23,14.82,curitiba,RJ,2018-01-03 17:07:00,40.58
  cust_3908  ,order_3908,prod_43,seller_2,,12.65,sao paulo,SP,2018-01-03 17:08:00,25.54
cust_3909,order_3909,prod_71,seller_11,188.86,28.72,curitiba,RJ,2018-01-03 17:09:00,30.97
cust_3910,order_3910,prod_4,seller_2,,8.62,sao paulo,SP,2018-01-03 17:10:00,34.83
cust_3911,order_3911,prod_48,seller_3,16.82,20.47,curitiba,RJ,2018-01-03 17:11:00,1.6
cust_3912,order_3912,prod_27,seller_12,438.02,49.38,sao paulo,PR,2018-01-03 17:12:00,75.82
  cust_3913  ,order_3913,prod_29,seller_4,,40.74,rio de janeiro,SP,2018-01-03 17:13:00,4.65
cust_3914,order_3914,prod_96,seller_1,499.86,39.23,curitiba,PR,2018-01-03 17:14:00,39.58
cust_3915,order_3915,prod_55,seller_4,317.76,11.08,sao paulo,RJ,2018-01-03 17:15:00,19.38
cust_3916,order_3916,prod_14,seller_15,,21.41,sao paulo,SP,2018-01-03 17:16:00,4.4
cust_3917,order_3917,prod_37,seller_12,,35.63,curitiba,SP,2018-01-03 17:17:00,31.12
cust_3918,order_3918,prod_25,seller_8,172.34,5.97,sao paulo,PR,2018-01-03 17:18:00,22.76
  cust_3919  ,order_3919,prod_91,seller_19,476.99,24.53,rio de janeiro,PR,2018-01-03 17:19:00,41.07
cust_3920,order_3920,prod_29,seller_8,380.18,46.79,curitiba,PR,2018-01-03 17:20:00,16.56
cust_3921,order_3921,prod_36,seller_17,258.44,8.71,rio de janeiro,RJ,2018-01-03 17:21:00,44.81
cust_3922,order_3922,prod_34,seller_7,220.59,45.78,rio de janeiro,RJ,2018-01-03 17:22:00,15.26
cust_3923,order_3923,prod_18,seller_1,497.98,13.75,rio de janeiro,RJ,2018-01-03 17:23:00,91.92
cust_3924,order_3924,prod_78,seller_3,337.02,13.51,rio de janeiro,RJ,2018-01-03 17:24:00,13.98
  cust_3925  ,order_3925,prod_58,seller_6,261.83,13.79,rio de janeiro,SP,2018-01-03 17:25:00,29.33
  cust_3926  ,order_3926,prod_44,seller_4,204.99,46.91,rio de janeiro,SP,2018-01-03 17:26:00,22.0
cust_3927,order_3927,prod_40,seller_3,169.05,32.17,sao paulo,PR,2018-01-03 17:27:00,28.02
cust_3928,order_3928,prod_67,seller_8,355.66,38.79,rio de janeiro,RJ,2018-01-03 17:28:00,9.88
cust_3929,order_3929,prod_10,seller_19,298.06,21.49,curitiba,SP,2018-01-03 17:29:00,54.24
cust_3930,order_3930,prod_93,seller_4,,44.3,curitiba,PR,2018-01-03 17:30:00,45.24
cust_3931,order_3931,prod_56,seller_5,281.24,31.19,sao paulo,SP,2018-01-03 17:31:00,32.97
  cust_3932  ,order_3932,prod_23,seller_19,295.34,31.99,curitiba,RJ,2018-01-03 17:32:00,30.13
  cust_3933  ,order_3933,prod_54,seller_4,243.9,38.85,curitiba,SP,2018-01-03 17:33:00,1.76
cust_3934,order_3934,prod_85,seller_16,383.68,39.81,sao paulo,RJ,2018-01-03 17:34:00,38.14
cust_3935,order_3935,prod_18,seller_12,213.35,35.68,curitiba,RJ,2018-01-03 17:35:00,11.25
cust_3936,order_3936,prod_52,seller_18,427.45,10.35,rio de janeiro,PR,2018-01-03 17:36:00,29.3
cust_3937,order_3937,prod_60,seller_11,170.25,44.0,rio de janeiro,PR,2018-01-03 17:37:00,22.1
cust_3938,order_3938,prod_81,seller_12,,16.74,curitiba,PR,2018-01-03 17:38:00,34.78
